iter	Passed	Remaining
0	16	16273
1	34	17436
2	51	17090
3	73	18229
4	83	16632
5	97	16085
6	112	15964
7	125	15532
8	147	16217
9	159	15827
10	183	16455
11	212	17521
12	227	17303
13	240	16959
14	252	16574
15	268	16509
16	280	16209
17	289	15802
18	297	15381
19	307	15080
20	316	14735
21	326	14505
22	362	15402
23	380	15453
24	414	16150
25	433	16235
26	459	16553
27	477	16569
28	515	17264
29	527	17053
30	560	17532
31	577	17478
32	597	17507
33	608	17299
34	618	17058
35	626	16783
36	636	16570
37	647	16381
38	655	16145
39	670	16087
40	680	15918
41	689	15721
42	698	15545
43	706	15355
44	716	15211
45	725	15039
46	735	14904
47	743	14751
48	752	14610
49	761	14467
50	771	14364
51	782	14266
52	792	14167
53	802	14063
54	812	13958
55	821	13840
56	830	13745
57	839	13628
58	848	13534
59	859	13463
60	872	13432
61	884	13383
62	894	13299
63	904	13228
64	918	13212
65	928	13142
66	936	13044
67	946	12972
68	954	12885
69	963	12803
70	972	12724
71	983	12679
72	995	12635
73	1006	12589
74	1014	12512
75	1025	12466
76	1033	12394
77	1043	12333
78	1052	12264
79	1060	12196
80	1075	12198
81	1084	12136
82	1093	12080
83	1102	12025
84	1110	11959
85	1120	11905
86	1128	11841
87	1137	11791
88	1146	11730
89	1155	11684
90	1163	11624
91	1173	11582
92	1181	11526
93	1192	11494
94	1202	11457
95	1211	11408
96	1223	11392
97	1238	11399
98	1246	11345
99	1256	11310
100	1266	11276
101	1279	11266
102	1294	11273
103	1308	11276
104	1321	11260
105	1329	11211
106	1340	11187
107	1357	11212
108	1374	11233
109	1384	11204
110	1393	11158
111	1405	11140
112	1415	11107
113	1423	11065
114	1434	11037
115	1443	10998
116	1454	10973
117	1462	10935
118	1471	10894
119	1480	10857
120	1488	10814
121	1499	10789
122	1510	10767
123	1518	10729
124	1527	10692
125	1538	10669
126	1552	10672
127	1562	10644
128	1571	10612
129	1593	10667
130	1603	10635
131	1614	10614
132	1622	10577
133	1635	10567
134	1642	10526
135	1649	10480
136	1658	10449
137	1665	10405
138	1673	10363
139	1680	10324
140	1687	10283
141	1696	10252
142	1705	10218
143	1714	10191
144	1721	10150
145	1729	10116
146	1736	10075
147	1744	10043
148	1751	10004
149	1759	9971
150	1766	9933
151	1774	9898
